year,cpi,cpi_2020
1992,140.3,0.542094424
1993,144.5,0.558322482
1994,148.2,0.572618629
1995,152.4,0.588846687
1996,156.9,0.606233893
1997,160.5,0.620143657
1998,163.0,0.629803215
1999,166.6,0.64371298
2000,172.2,0.665350391
2001,177.1,0.684283126
2002,179.9,0.695101831
2003,184.0,0.710943507
2004,188.9,0.729876242
2005,195.3,0.754604712
2006,201.6,0.778946799
2007,207.342,0.801132873
2008,215.303,0.831892771
2009,214.537,0.828933082
2010,218.056,0.842529877
2011,224.939,0.869124574
2012,229.594,0.887110671
2013,232.957,0.90010471
2014,236.736,0.914706098
2015,237.017,0.915791833
2016,240.007,0.927344665
2017,245.120,0.947100394
2018,251.107,0.970233104
2019,255.657,0.987813501
2020,258.811,1